EMP,ESTAB,NAICS2017,STATE,COUNTY,NAICS2017,state,county
1281,28,31-33,01,001,31-33,01,001
4071,181,31-33,01,003,31-33,01,003
2107,21,31-33,01,005,31-33,01,005
4082,91,31-33,01,055,31-33,01,055
172,17,31-33,04,007,31-33,04,007
187,9,31-33,04,012,31-33,04,012
413,36,31-33,04,023,31-33,04,023
682,17,31-33,01,007,31-33,01,007
990,43,31-33,01,009,31-33,01,009
702,6,31-33,01,011,31-33,01,011
1305,20,31-33,01,013,31-33,01,013
6707,94,31-33,01,015,31-33,01,015
2558,29,31-33,01,017,31-33,01,017
928,21,31-33,01,019,31-33,01,019
1687,39,31-33,01,021,31-33,01,021
1021,8,31-33,01,023,31-33,01,023
1459,23,31-33,01,025,31-33,01,025
2387,12,31-33,01,027,31-33,01,027
318,12,31-33,01,029,31-33,01,029
3249,36,31-33,01,031,31-33,01,031
5779,87,31-33,01,033,31-33,01,033
675,11,31-33,01,035,31-33,01,035
406,5,31-33,01,037,31-33,01,037
2403,33,31-33,01,039,31-33,01,039
763,6,31-33,01,041,31-33,01,041
4986,105,31-33,01,043,31-33,01,043
532,29,31-33,01,045,31-33,01,045
3094,35,31-33,01,047,31-33,01,047
7196,98,31-33,01,049,31-33,01,049
2757,51,31-33,01,051,31-33,01,051
1947,41,31-33,01,053,31-33,01,053
1143,17,31-33,01,057,31-33,01,057
7023,43,31-33,01,059,31-33,01,059
757,22,31-33,01,061,31-33,01,061
532,8,31-33,01,063,31-33,01,063
440,10,31-33,01,065,31-33,01,065
259,9,31-33,01,067,31-33,01,067
4769,105,31-33,01,069,31-33,01,069
5558,65,31-33,01,071,31-33,01,071
22975,504,31-33,01,073,31-33,01,073
1625,22,31-33,01,075,31-33,01,075
2912,83,31-33,01,077,31-33,01,077
161,21,31-33,01,079,31-33,01,079
8310,141,31-33,01,081,31-33,01,081
7782,77,31-33,01,083,31-33,01,083
716,10,31-33,01,085,31-33,01,085
19510,287,31-33,01,089,31-33,01,089
314,7,31-33,01,087,31-33,01,087
1208,15,31-33,01,091,31-33,01,091
2911,27,31-33,01,093,31-33,01,093
12176,112,31-33,01,095,31-33,01,095
13837,294,31-33,01,097,31-33,01,097
1176,16,31-33,01,099,31-33,01,099
14127,181,31-33,01,101,31-33,01,101
13049,163,31-33,01,103,31-33,01,103
663,5,31-33,01,105,31-33,01,105
686,18,31-33,01,107,31-33,01,107
2610,24,31-33,01,109,31-33,01,109
1194,27,31-33,01,111,31-33,01,111
2563,35,31-33,01,113,31-33,01,113
3457,74,31-33,01,115,31-33,01,115
5409,159,31-33,01,117,31-33,01,117
553,49,31-33,04,003,31-33,04,003
1675,83,31-33,04,005,31-33,04,005
231,19,31-33,04,009,31-33,04,009
598,43,31-33,04,017,31-33,04,017
5435,136,31-33,04,021,31-33,04,021
3257,200,31-33,04,025,31-33,04,025
4530,95,31-33,04,027,31-33,04,027
2201,9,31-33,02,016,31-33,02,016
2107,23,31-33,05,057,31-33,05,057
1915,39,31-33,01,123,31-33,01,123
242,5,31-33,01,119,31-33,01,119
10529,91,31-33,01,121,31-33,01,121
19633,131,31-33,01,125,31-33,01,125
2001,54,31-33,01,127,31-33,01,127
3332,16,31-33,01,129,31-33,01,129
745,6,31-33,01,131,31-33,01,131
3337,40,31-33,01,133,31-33,01,133
1841,6,31-33,02,013,31-33,02,013
1670,180,31-33,02,020,31-33,02,020
95,8,31-33,02,060,31-33,02,060
149,19,31-33,02,063,31-33,02,063
44,6,31-33,02,070,31-33,02,070
524,66,31-33,02,090,31-33,02,090
26,8,31-33,02,100,31-33,02,100
19,4,31-33,02,105,31-33,02,105
275,31,31-33,02,110,31-33,02,110
766,71,31-33,02,122,31-33,02,122
213,22,31-33,02,130,31-33,02,130
1320,18,31-33,02,150,31-33,02,150
670,66,31-33,02,170,31-33,02,170
17,3,31-33,02,180,31-33,02,180
160,4,31-33,02,195,31-33,02,195
92,8,31-33,02,198,31-33,02,198
300,20,31-33,02,220,31-33,02,220
17,3,31-33,02,240,31-33,02,240
17,3,31-33,02,275,31-33,02,275
64,7,31-33,04,001,31-33,04,001
128752,3016,31-33,04,013,31-33,04,013
3239,144,31-33,04,015,31-33,04,015
22016,600,31-33,04,019,31-33,04,019
4083,24,31-33,05,001,31-33,05,001
1199,26,31-33,05,003,31-33,05,003
2649,46,31-33,05,005,31-33,05,005
12058,192,31-33,05,007,31-33,05,007
1767,41,31-33,05,009,31-33,05,009
600,7,31-33,05,011,31-33,05,011
2624,31,31-33,05,015,31-33,05,015
15,3,31-33,05,017,31-33,05,017
1346,25,31-33,05,019,31-33,05,019
97,11,31-33,05,021,31-33,05,021
1444,34,31-33,05,023,31-33,05,023
1736,24,31-33,05,027,31-33,05,027
1018,22,31-33,05,029,31-33,05,029
7998,90,31-33,05,031,31-33,05,031
4116,50,31-33,05,033,31-33,05,033
1914,33,31-33,05,035,31-33,05,035
353,12,31-33,05,037,31-33,05,037
672,9,31-33,05,039,31-33,05,039
857,12,31-33,05,041,31-33,05,041
1075,20,31-33,05,043,31-33,05,043
3296,94,31-33,05,045,31-33,05,045
1448,17,31-33,05,047,31-33,05,047
138,12,31-33,05,049,31-33,05,049
2806,95,31-33,05,051,31-33,05,051
1097,15,31-33,05,053,31-33,05,053
4818,47,31-33,05,055,31-33,05,055
1562,30,31-33,05,059,31-33,05,059
2817,17,31-33,05,061,31-33,05,061
5103,41,31-33,05,063,31-33,05,063
292,5,31-33,05,065,31-33,05,065
980,15,31-33,05,067,31-33,05,067
3917,47,31-33,05,069,31-33,05,069
2437,30,31-33,05,071,31-33,05,071
104,6,31-33,05,073,31-33,05,073
340,15,31-33,05,075,31-33,05,075
11,3,31-33,05,077,31-33,05,077
296,7,31-33,05,079,31-33,05,079
984,15,31-33,05,081,31-33,05,081
1005,22,31-33,05,083,31-33,05,083
1755,26,31-33,05,085,31-33,05,085
1106,22,31-33,05,087,31-33,05,087
1410,18,31-33,05,089,31-33,05,089
2293,25,31-33,05,091,31-33,05,091
6344,48,31-33,05,093,31-33,05,093
