cbsa_code,cbsa_name,finance,information,logistics,manufacturing,professional_services,demand_index,primary_city,state,cbsa_name_u,is_candidate
10020,"Abbeville, LA",322,117,454,491,295,423.8,Abbeville,LA,"ABBEVILLE, LA",False
10100,"Aberdeen, SD",978,135,429,3642,460,1775.3000000000002,Aberdeen,SD,"ABERDEEN, SD",False
10140,"Aberdeen, WA",483,130,432,2050,399,1077.7,Aberdeen,WA,"ABERDEEN, WA",False
10180,"Abilene, TX",3106,1015,2836,3632,1887,2991.6000000000004,Abilene,TX,"ABILENE, TX",False
10220,"Ada, OK",498,87,297,1427,883,886.3000000000001,Ada,OK,"ADA, OK",False
10260,"Adjuntas, PR",0,0,19,257,23,113.10000000000001,Adjuntas,PR,"ADJUNTAS, PR",False
10300,"Adrian, MI",683,220,432,5550,450,2507.9,Adrian,MI,"ADRIAN, MI",False
10380,"Aguadilla-Isabela-San Sebastián, PR",929,435,1144,6648,2775,3650.3,Aguadilla,PR,"AGUADILLA-ISABELA-SAN SEBASTIÁN, PR",False
10420,"Akron, OH",8962,4952,15653,39062,16391,24495.100000000002,Akron,OH,"AKRON, OH",False
10460,"Alamogordo, NM",385,201,211,100,533,248.4,Alamogordo,NM,"ALAMOGORDO, NM",False
10500,"Albany, GA",1143,627,2464,4480,1877,3020.9,Albany,GA,"ALBANY, GA",False
10540,"Albany-Lebanon, OR",954,269,3184,7283,1241,4212.0,Albany,OR,"ALBANY-LEBANON, OR",False
10580,"Albany-Schenectady-Troy, NY",19558,8659,13431,25898,31718,22687.899999999998,Albany,NY,"ALBANY-SCHENECTADY-TROY, NY",False
10620,"Albemarle, NC",459,107,115,4644,268,1991.6000000000001,Albemarle,NC,"ALBEMARLE, NC",False
10660,"Albert Lea, MN",377,157,303,2493,208,1167.4,Albert Lea,MN,"ALBERT LEA, MN",False
10700,"Albertville, AL",934,280,889,12176,602,5350.9,Albertville,AL,"ALBERTVILLE, AL",False
10740,"Albuquerque, NM",14513,5254,8891,17621,33465,17860.0,Albuquerque,NM,"ALBUQUERQUE, NM",False
10760,"Alexander City, AL",340,153,417,2321,243,1136.1,Alexander City,AL,"ALEXANDER CITY, AL",False
10780,"Alexandria, LA",1308,396,1061,3249,1950,2138.7000000000003,Alexandria,LA,"ALEXANDRIA, LA",False
10820,"Alexandria, MN",431,188,228,4057,472,1828.7000000000003,Alexandria,MN,"ALEXANDRIA, MN",False
10860,"Alice, TX",294,67,495,246,144,305.09999999999997,Alice,TX,"ALICE, TX",False
10880,"Allegan, MI",382,119,1488,14648,1970,6737.8,Allegan,MI,"ALLEGAN, MI",False
10900,"Allentown-Bethlehem-Easton, PA-NJ",10169,5764,28423,42124,14216,29236.600000000002,Allentown,PA-NJ,"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ",False
10940,"Alma, MI",339,62,314,2472,129,1142.7,Alma,MI,"ALMA, MI",False
10980,"Alpena, MI",368,128,242,1610,268,807.0,Alpena,MI,"ALPENA, MI",False
11020,"Altoona, PA",1047,869,3755,6105,1817,4036.6,Altoona,PA,"ALTOONA, PA",False
11060,"Altus, OK",348,131,212,962,307,544.5999999999999,Altus,OK,"ALTUS, OK",False
11100,"Amarillo, TX",5101,1467,3915,10831,3197,6656.4000000000015,Amarillo,TX,"AMARILLO, TX",False
