rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,is_candidate,demand_index,score_baseline,score_flo,score_flo_recalc,score_flo_error,demand_norm,w_demand,contrib_demand,enterprise_fit_norm,w_enterprise_fit,contrib_enterprise_fit,cloud_adjacency_norm,w_cloud_adjacency,contrib_cloud_adjacency,resilience_norm,w_resilience,contrib_resilience,capex_friction_norm,w_capex_friction,contrib_capex_friction
1,1,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",New York,NY-NJ-PA,False,435371.1,1.0,0.6743764483643216,0.6743764483643216,0.0,1.0,0.3,0.3,0.8939693171876132,0.2,0.17879386343752265,1.0,0.2,0.2,0.9705505661786605,0.15,0.14558258492679907,1.0,-0.15,-0.15
2,2,31100,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles,CA,True,364492.3,0.8371905149006048,0.6031959947638109,0.6031959947638109,0.0,0.8371905149006048,0.3,0.25115715447018144,1.0,0.2,0.2,0.7433689613648056,0.2,0.14867379227296112,0.9856902654825241,0.15,0.14785353982237862,0.9632566120114022,-0.15,-0.14448849180171033
3,3,16980,"Chicago-Joliet-Naperville, IL-IN-WI",Chicago,IL-IN-WI,False,337400.7,0.7749607727701121,0.478059642812259,0.478059642812259,0.0,0.7749607727701121,0.3,0.23248823183103362,0.9267602494302001,0.2,0.18535204988604004,0.2822527568853877,0.2,0.056450551377077544,0.9716131000797632,0.15,0.14574196501196449,0.9464877019590447,-0.15,-0.1419731552938567
4,4,19100,"Dallas-Fort Worth-Arlington, TX",Dallas,TX,True,266468.5,0.6120286272065963,0.3974464045317849,0.3974464045317849,0.0,0.6120286272065963,0.3,0.1836085881619789,0.7311993936996026,0.2,0.14623987873992053,0.29226290210865447,0.2,0.0584525804217309,0.9865888549723604,0.15,0.14798832824585406,0.9256198069179965,-0.15,-0.13884297103769946
5,11,41860,"San Francisco-Oakland-Fremont, CA",San Francisco,CA,False,163292.5,0.37503207203614763,0.33495709133390095,0.33495709133390095,0.0,0.37503207203614763,0.3,0.11250962161084428,0.3376078997375299,0.2,0.06752157994750599,0.7365374611650625,0.2,0.1473074922330125,0.9555747992872344,0.15,0.14333621989308515,0.9047854823369804,-0.15,-0.13571782235054705
6,5,12060,"Atlanta-Sandy Springs-Marietta, GA",Atlanta,GA,False,183007.9,0.42031859103094743,0.294987035000031,0.294987035000031,0.0,0.42031859103094743,0.3,0.12609557730928422,0.4703241589532401,0.2,0.09406483179064802,0.30402043989458166,0.2,0.06080408797891634,0.9833302620346221,0.15,0.14749953930519333,0.8898466758934062,-0.15,-0.13347700138401092
7,14,42660,"Seattle-Tacoma-Bellevue, WA",Seattle,WA,False,125890.2,0.28911852377442326,0.26811921144068296,0.26811921144068296,0.0,0.28911852377442326,0.3,0.08673555713232697,0.34538225345362755,0.2,0.06907645069072552,0.4738882645920212,0.2,0.09477765291840425,0.9774112773154667,0.15,0.14661169159732002,0.8605476059872916,-0.15,-0.12908214089809375
8,9,14460,"Boston-Cambridge-Quincy, MA-NH",Boston,MA-NH,False,168960.80000000002,0.38805222763117614,0.267280443332485,0.267280443332485,0.0,0.38805222763117614,0.3,0.11641566828935283,0.3652692408428021,0.2,0.07305384816856042,0.34803863806844143,0.2,0.06960772761368829,0.9449104411433802,0.15,0.141736566171507,0.8902224460708238,-0.15,-0.13353336691062356
9,7,26420,"Houston-Sugar Land-Baytown, TX",Houston,TX,True,176497.7,0.40536458066544917,0.25587850350390906,0.25587850350390906,0.0,0.40536458066544917,0.3,0.12160937419963475,0.49022117704751766,0.2,0.09804423540950354,0.12252728145378462,0.2,0.024505456290756927,0.9497318540174076,0.15,0.14245977810261112,0.8716022699906486,-0.15,-0.13074034049859729
10,8,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,PA-NJ-DE-MD,False,169456.6,0.3891910863972991,0.2556996919744454,0.2556996919744454,0.0,0.3891910863972991,0.3,0.11675732591918972,0.4224749093057079,0.2,0.08449498186114159,0.20195317102892107,0.2,0.04039063420578422,0.9759559920720025,0.15,0.14639339881080035,0.882244325483136,-0.15,-0.1323366488224704
