rank_border_flo,rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,manufacturing,logistics,information,finance,professional_services,demand_index,demand_norm,enterprise_fit,cloud_adjacency,resilience,capex_friction,score_baseline,score_flo,is_candidate
1,2,2,31100,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles,CA,442058,234186,258653,258711,457711,364492.3,0.8371905149006048,358909.2,258653,0.7823167732183658,14.317085526047327,0.8371905149006048,0.6031959947638109,True
2,4,4,19100,"Dallas-Fort Worth-Arlington, TX",Dallas,TX,277698,239546,101692,253949,290653,266468.5,0.6120286272065963,262437.2,101692,0.7829779127404758,13.966976780715788,0.6120286272065963,0.3974464045317849,True
3,5,11,41860,"San Francisco-Oakland-Fremont, CA",San Francisco,CA,140542,92132,256276,144823,324769,163292.5,0.37503207203614763,121178.0,256276,0.7601592417162985,13.773169702224749,0.37503207203614763,0.33495709133390095,False
4,9,7,26420,"Houston-Sugar Land-Baytown, TX",Houston,TX,199467,140676,42633,97303,223889,176497.7,0.40536458066544917,175950.6,42633,0.7558602797463425,13.464489600079741,0.40536458066544917,0.25587850350390906,True
5,13,13,38060,"Phoenix-Mesa-Glendale, AZ",Phoenix,AZ,134187,104450,41448,151432,151420,130437.0,0.2995625799216765,122292.2,41448,0.774896828281134,13.275836113193737,0.2995625799216765,0.20047809313360807,True
6,15,19,41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,CA,98703,15132,150666,27399,175668,81894.29999999999,0.1880593943099786,65274.6,150666,0.7059669598389532,13.055302210402905,0.1880593943099786,0.18753514549657282,False
7,17,16,40140,"Riverside-San Bernardino-Ontario, CA",Riverside,CA,103900,158594,15865,27063,41606,100165.7,0.23002902734616276,125777.6,15865,0.6789592841804659,12.757163628923958,0.23002902734616276,0.15565974830356927,True
8,20,948,24380,"Grants, NM",Grants,NM,40,36,23,70,42,42.2,4.410263878491718e-05,38.4,23,0.7733878394465533,5.356586274672012,4.410263878491718e-05,0.1460747810170044,False
9,23,946,29500,"Lamesa, TX",Lamesa,TX,92,83,53,93,55,82.0,0.00013552373376615173,88.4,53,0.7889599366229063,5.932245187448011,0.00013552373376615173,0.14003951451389968,False
10,24,17,41740,"San Diego-Carlsbad-San Marcos, CA",San Diego,CA,100034,35792,36081,58138,181028,92770.6,0.21304239067541586,74337.2,36081,0.7115600715982031,12.926528525933357,0.21304239067541586,0.13743356816304703,True
11,26,938,40760,"Ruidoso, NM",Ruidoso,NM,140,107,63,143,134,129.2,0.0002439427207790731,126.80000000000001,63,0.7869135064384782,6.376726947898627,0.0002439427207790731,0.13251468513704664,False
12,28,940,13300,"Beeville, TX",Beeville,TX,165,48,77,142,130,120.6,0.00022418841382332896,118.2,77,0.7703866465723586,6.333279628139691,0.00022418841382332896,0.12984322512700786,False
13,30,933,18860,"Crescent City, CA",Crescent City,CA,198,145,98,69,107,151.0,0.00029401759189944784,176.8,98,0.7739808610177862,6.42648845745769,0.00029401759189944784,0.12913866611566235,False
