rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,manufacturing,logistics,information,finance,professional_services,demand_index,demand_norm,enterprise_fit,cloud_adjacency,resilience,capex_friction,score_baseline,score_flo,is_candidate
2,2,31100,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles,CA,442058,234186,258653,258711,457711,364492.3,0.8371905149006048,358909.2,258653,0.7823167732183658,14.317085526047327,0.8371905149006048,0.6031959947638109,True
4,4,19100,"Dallas-Fort Worth-Arlington, TX",Dallas,TX,277698,239546,101692,253949,290653,266468.5,0.6120286272065963,262437.2,101692,0.7829779127404758,13.966976780715788,0.6120286272065963,0.3974464045317849,True
9,7,26420,"Houston-Sugar Land-Baytown, TX",Houston,TX,199467,140676,42633,97303,223889,176497.7,0.40536458066544917,175950.6,42633,0.7558602797463425,13.464489600079741,0.40536458066544917,0.25587850350390906,True
13,13,38060,"Phoenix-Mesa-Glendale, AZ",Phoenix,AZ,134187,104450,41448,151432,151420,130437.0,0.2995625799216765,122292.2,41448,0.774896828281134,13.275836113193737,0.2995625799216765,0.20047809313360807,True
17,16,40140,"Riverside-San Bernardino-Ontario, CA",Riverside,CA,103900,158594,15865,27063,41606,100165.7,0.23002902734616276,125777.6,15865,0.6789592841804659,12.757163628923958,0.23002902734616276,0.15565974830356927,True
24,17,41740,"San Diego-Carlsbad-San Marcos, CA",San Diego,CA,100034,35792,36081,58138,181028,92770.6,0.21304239067541586,74337.2,36081,0.7115600715982031,12.926528525933357,0.21304239067541586,0.13743356816304703,True
58,34,12420,"Austin-Round Rock-San Marcos, TX",Austin,TX,49717,26680,55037,47076,131666,58931.6,0.13531378682943604,40502.2,55037,0.7322005346827436,12.644898381263202,0.13531378682943604,0.11490529079694953,True
96,36,41700,"San Antonio-New Braunfels, TX",San Antonio,TX,51922,43129,18028,74531,58723,52905.2,0.12147107108082016,48404.8,18028,0.7711884253228157,12.414443617618513,0.12147107108082016,0.10554817818096038,True
267,269,15180,"Brownsville-Harlingen, TX",Brownsville,TX,4909,4931,1753,3404,3115,4406.3,0.010068494613850388,4917.8,1753,0.7781505794530148,9.804385191492917,0.010068494613850388,0.08204562111459181,True
291,172,32580,"McAllen-Edinburg-Mission, TX",McAllen,TX,6954,8820,4299,6837,6724,7456.1,0.017073923143342076,7700.4,4299,0.7908601036360301,10.423322470459706,0.017073923143342076,0.07977205978568641,True
311,109,21340,"El Paso, TX",El Paso,TX,15645,16430,6531,7885,9001,13775.7,0.03159012293840263,15959.0,6531,0.7724995965268214,10.924012165653831,0.03159012293840263,0.07819521709091315,True
330,94,46060,"Tucson, AZ",Tucson,AZ,22016,12004,6176,13633,19226,17616.1,0.04041156950036075,18011.2,6176,0.7709511994260144,11.198981549329522,0.04041156950036075,0.07703163778359289,True
886,194,29700,"Laredo, TX",Laredo,TX,754,17644,618,2355,2090,6248.3,0.01429959152227838,7510.0,618,0.4146721291015568,10.063137370065666,0.01429959152227838,0.0058312920875817215,True
